Name,Michelin_Distinction,Review_Date,Review_Rating,Processed_Review
CORE by Clare Smyth,3,2023-07-26,5,took wife celebrate first big trip since pandemic start finish experience extraordinary clare smyth cuisine service embody excellence across board truly one england greatest chef booking number ready get table released thankfully impossible took tube notting hill pleasant walk restaurant lovely neighborhood upon checking greeted warmly taken table two tasting menu offered classic tasting menu core season got one try dish also got wine pairing prepared palate champagne cocktail sat back enjoy experience dish breathtaking melange color expertly arranged plated flavor ingredient sublime wait staff knowledgeable wine served enjoyed story provenance vintage way got meet clare thanked wonderful evening would forget
CORE by Clare Smyth,3,2023-07-10,5,could give place star would bf show watch together top chef one saw reservation lunch open restaurant vacation knew book traveled metro restaurant got little early hostess gracious let u store bag front closet earliest reservation quite outnumbered wait staff restaurant filled bit watched wonder well oiled machine everything escort restroom pulling chair describing every single dish impeccable food every single dish delicious well balanced presented like absolute work art started piece amuse bouche get palate ready palate still ready scallop tartare probably ruined know would ever eat scallop say fresh would understatement potato roe every time go fine dining restaurant always amazed flavor put modest food potato roasted cod delicious lamb carrot quite surprise carrot magically stuffed roasted lamb venison tender juicy core apple magical look like fuji apple delicious stuffed mousse wild strawberry also beautiful optical illusion represents caprese salad refreshing dessert thought fit another morsel come petit four second stomach usually reserved dessert managed devour chocolate tart reminiscent fresh baked cookie wonderful jellied wine reminded super potent wine jello shot way refined recommend trying secure reservation restaurant vacation want splurge three michelin star meal
CORE by Clare Smyth,3,2023-06-26,1,booked people core restaurant pm plane delayed hour return london asked restaurant asked attendant could change booking come half hour late said could change booking charge cancellation fee keep booking half hour received email prior half hour say charged gpd cancellation fee stoped picking call disgusting
CORE by Clare Smyth,3,2023-05-24,5,amazing experience review bit late october walk immediately transported lucky snag afternoon lunch resv absolutely perfect time sun coming restaurant food beautiful next couple hour pure joy sens engaged wait come back see next
CORE by Clare Smyth,3,2023-01-08,5,word describe beautiful delicious perfect experience dinner soon enter door every minute well choreographed dinner departure perfection abundance staff one admire level efficiency staff movement around dining room finished plate never sat table second someone came whisk away clean table dish presented perfectly staff knowledgeable energetic present next course dish phenomenal tasting creativity beauty overall taste every dish nothing heavy dish quite bright dessert ok rest meal made chef kitchen able even get quick greeting way would come back heartbeat
CORE by Clare Smyth,3,2022-11-11,5,set alarm get reservation get booked quick fortunate enough get reservation month trip london birthday dinner excited dine seeing chef clare chef table netflix dining core wonderful experience host grabbed u get seated cocktail waiting area right entered dining room saw chef clare friendly staff member waive greet u welcoming hello enjoyed open kitchen layout see chef hard work decided pick one tasting menu try variety chef clare dish love option choosing different tasting menu u dining typically high end restaurant require get tasting menu whole table since easier prepare dish unique taste gorgeous presentation sauce signature potato dish divine potato cooked perfectly prepared ton dessert dish wish offered savory compared sweet staff knowledgeable gave u full description dish serving u highly recommend giving michelin star restaurant try
CORE by Clare Smyth,3,2022-10-17,5,loved restaurant would definitely try go back london say try reservation hard come two menu choose got one could try everything classic tasting fine two enjoyed core season menu service great although scared finishing really late reservation time surprisingly flew quickly tired thought would presentation phenomenal well
CORE by Clare Smyth,3,2022-10-05,5,tried reservation thing core twice back covids ever seating bar main dining room like idiot passed time little worried couple allowed enter baby infant seated far table worry finally properly seated found food service ambiance exceptional course plenty exceptional restaurant worldwide pleased see chef clare smyth believe one woman ever earned third michelin star selected restaurant staff include woman men various diverse background side house level kitchen staff fully visible patron chef table every diner get glimpse walk visited handful super high end restaurant realize chef smyth diverse staff extremely rare return soon
Hélène Darroze at The Connaught,3,2024-05-03,4,display presentation great service fantastic truely remarkable michelin experience however quite u suffered gi issue within hr finish pity
Hélène Darroze at The Connaught,3,2023-06-04,4,since used marble menu select dish cool wife expecting glad went back traditional menu approach team excellent even humored u speaking italian u time learning five course menu wagyu fantastic pairing really nice throughout meal really nice evening lobster especially delicious take onion soup quite inventive definitely rotation see menu evolves time
Hélène Darroze at The Connaught,3,2022-12-31,4,dish museum quality one work art service excellent setting taste absent dish bit bland excellent wagyu beef outstanding like butter pound upcharge outrageous baba rum also pound upcharge year old brandy drizzled meal two pound without liquor
Hélène Darroze at The Connaught,3,2022-12-14,1,none course tasty mediocre really understand get michelin star star restaurant tried way better one
Hélène Darroze at The Connaught,3,2022-12-11,5,first time eating michelin star restaurant wow prepared much upgrade dining experience would opted full tasting menu wine pairing menu seasonal go much detail food amazing review would page long level service attention detail truly astonishing staff amazing super friendly lot time feel intimidating sit renowned place made super comfortable also reached beforehand asked special reason visiting restaurant said anniversary hand wrote nice card u even day emailed thanked u visit made first night london special thanks
Hélène Darroze at The Connaught,3,2022-08-14,5,family fortunate enough dine top michelin restaurant around world restaurant delivered sharp service executed imaginative delectable dish back chef table sommelier tasting return thank memorable night entertaining year old palate thoroughly enjoyed creative mock tail
Hélène Darroze at The Connaught,3,2022-07-06,5,instant contender one top meal ever say enough meal hd top level dining start finish category ambience service fantastic food world class full disclosure couple martini hotel lobby bar also fantastic dinner plus generous delicious wine pairing started make thing little fuzzy towards dessert course tell certainty despite night soon forget spare dish dish rundown course incredible display technique beauty flavor attention detail mentioned service earlier overlooked important overall experience hd attentive knowledgable friendly fun accommodating run adjective staff superb h l ne darroze playing top level culinary sandbox three michelin star tasting menu restaurant proved go meal world nailed blown away
Restaurant Gordon Ramsay,3,2024-07-08,5,first outside restaurant look unassuming almost like house apartment building door could easily miss walk feel like entering mysterious room see smiling face staff seated right away dining room intimate elegant decor quiet atmosphere could barely hear diner whispering noise received menu explained three option surprise option two others know getting also checked u allergy throughout meal kept thinking staff brought food different table etiquette would walk doorframe bos check food bringing table placing plate front customer simultaneously reminded movie menu good way son chose surprise menu daughter opted six course meal received tiny portion food amazing flavor initially thought might leave hungry end experience pleasant food coma definitely experience stay rest life sure coming back next time london worth every penny thank gordon ramsay amazing restaurant thank chef incredible taste presentation food last least thank staff made special day see soon
Restaurant Gordon Ramsay,3,2024-06-20,5,wife traveled uk honeymoon decided make restaurant gordon ramsay celebratory dinner soon walk greeted friendly helpful staff atmosphere lovely color pallet consisting white gold purple used consistent seen everything wall furniture ordered different thing taste little bit everything wife ordered scallop starter ordered ravioli delicious set expectation flavor profile experience entr e wife ordered cornish turbot cumbrian blue gray fish moist flavorful blue gray exquisite black garlic mushroom alone plate could highlight meal order try cheese dessert bit funky taste dessert ordered pecan praline strawberry creme good sweet taste really sweet tooth right alley service top staff constantly checking making sure everything taken care even go far make sure pour water sorry haha time wedding finish meal thank everyone work making celebratory wedding dinner one remember forever
Restaurant Gordon Ramsay,3,2024-06-16,5,well deserving three michelin star taste creativity presentation service ambience honestly hard give across board dish amazing supposed could quibble taste make caviar dish caviar flavor swamped ingredient lost caviar highlighted would easily meal realistically probably even despite photo included obviously menu change frequently go carte blanche chef choice menu disappointed also add wine pairing forewarned get fairly tipsy
Restaurant Gordon Ramsay,3,2024-06-15,5,see gordon place amazing food great staff professional friendly
Restaurant Gordon Ramsay,3,2024-03-05,5,well run business like well oiled machine waiting staff listened relaxed comfortable uniform cleanliness impeccable went christmas lunch disappointed dish well balanced little unusual traditional british dish flair beauty dish worth money special occasion great dining experience pleased pudding right filling make regret eating good wine menu
Restaurant Gordon Ramsay,3,2024-01-29,5,tl dr star service star food term fine dining star overall rounded highlight lowlights capped trip london dinner restaurant gordon ramsay took cab chelsea walked around walking restaurant arriving approximately minute reservation checked front door confirm reservation entering greeted complimentary champagne amuse bouche various tart front room awaited dinner reservation unique experience front room dinning room table pulled taken back level service consistent throughout dinner decided prestige menu worked sommelier find wine pairing would work meal first course menu soup light simple fresh herbaceous flavor second course summer salad similar soup light refreshing elderberry popped bite delightful served dinner roll second third course roll light buttery nice treat say best bread good third course world famous lobster ravioli lived expectation rich wonderful umami flavor could several fourth course cornish turbot mild smooth good mouth feel however found flavor rather mild fifth course cumbrian blue grey underwhelming texture tender would expected flavor rather mild rather full skipped cheese course first dessert course sorbet crisp topper sorbet refreshing sweet nice tart felt guilty eating intricate crisp final dessert course chocolate pecan praline ice cream put simply single best ice cream dish period creamy rich refreshing slight smoke addictive overall found food good would gladly eat every dish however hoping vibrant explosive flavor left lasting impression dish reached height ravioli pecan praline ice cream others felt safe yet good like cumbrian blue grey cornish turbot mild flavor service elevated experience star review food good would expect michelin star restaurant give meal london back u service unparalleled staff extremely friendly took time accommodate gluten allergy walk u menu wine listing share information u restaurant watching service take place elegant organized chaos every detail accounted throughout dining room table dirty cleared dropped silverware napkin replaced changed plate silverware course untainted experience created amazing atmosphere every course though first beyond server personalized experience acknowledging celebrating trip london anniversary made special would recommend restaurant anyone especially familiar gordon ramsay work speaks great talent built surrounded technicality food flawless wish flavor bit bolder would definitely come back nothing world class service though hope slightly inspired transcendent flavor experience next time
Restaurant Gordon Ramsay,3,2024-01-02,5,beef wellington amazing definitely worth price service top notch everything perfect
Restaurant Gordon Ramsay,3,2023-11-26,5,food excellent scallop ravioli lobster pigeon dover sole beef chocolate souffle complaint standouts ravioli dover sole second visit year standout
Restaurant Gordon Ramsay,3,2023-11-17,1,rd time dinner went th anniversary celebration ordered carte blanche menu thought special food st appetizer came quite good creative next course miss main dish venison gamey ordinary wow factor given michelin restaurant wife asked replace steak much better service ok ordered wine pairing pound glass st wine paired well rest wine snob felt wine served ordinary considering charged pound per glass wife told one server liking choice said ok keep calling someone else till get replaced wine grand finale restaurant presented u small cake commemorate special occasion th anniversary cake small amuse bouche joke say back time
Restaurant Gordon Ramsay,3,2023-11-09,2,second time visiting bit disappointed specially wi e paring think worth price sorry
Restaurant Gordon Ramsay,3,2023-10-04,4,sigh interesting one write wife love chef ramsay much one celebrity u saw starstruck unfortunately give experience star round many michelin starred restaurant world separate restaurant service experience le food food outstanding ultimately save service timing ambiance get wrong staff extremely nice attentive thing made visit le stellar timing course quite inconsistent delayed realize always perfect first course spaced le minute apart take minute main notice gap also minute wait taking last plate away u receiving check ask disappointing restaurant caliber last thing thinking check leave ambiance one room dining seemed like maybe one many table sitting table foot away guy sitting next table tell every word conversation faced everyone towards center dining room liked difficult get table visit restroom avoid bumping guy side table small thing complain place like rgr expect smaller detail taken care service felt frantic take approach one empty glass see empty tray unfolded napkin take care real collaborative mentality take far detriment service need water glassed filled every time sip like consistency serving build rapport meal service also crisp felt little disjointed like staff pretty green started working together spent two expected glad food bomb enjoyed every single bite need make update service one dolling star chance based last night awarding
Restaurant Gordon Ramsay,3,2023-09-18,3,listen restaurant want tell tip mind restaurant standard statement intent standard dip set going pile feel mean nitpicks asked jacket preferable go gordon ramsey hot mantit sweat mark something prepared allow food place three michelin star since last went year ago feat going argue let clear food perfection possibly part quibble though many edge place none textured service perfectly charming food immaculate night went swimmingly much challenge mind palate three menu choice fun seven course tasting menu la carte seven course tasting menu thought day derived whatever felt good produce delivered sound like laugh wholly convinced approve laughter dining room went two normal taster surprise room beige like beige love room sort light feature middle room hanging ceiling look like xxxl shower curtain holder noticeable thing room sound silence art garfunkel might deafened enter thankfully thing liven table filled first impression knockout like walk somewhere like core actually fat duck similarly underwhelming term surroundings proceed charm senseless food experience charm lacking amuse bouches roll happily tucked away cheese ball questioned papa john often wonder eating high end food irony end saying amazing taste like snicker wotsits ritz cracker closer get better like snicker expensive winner anyway cheeseballs tasted good like watching football front telly surrounded pizza box money leaflet next order second course introduced smoked salmon salad fact smoked duck breast worry except grand dropping thought sort thing completely ironed training literally care announced wrong main ingredient work remind whole reason paying small fortune nothing like ever supposed happen preferred wear jacket watched bear understood people gone nervous breakdown attain perfection understand mean going shell understand need slightly restricted jacket perfect however innocent rankles fact preferred wear jacket boiling hot night well paying money melting time prefer know dish smoked duck breast rather smoked salmon see place like turn twat want twat want normal person enjoying great food nice shirt let say hello mr twat delicious concoction sort broth top layer cream underneath sheer delight star show hint head chef talent background coming south east asia somellier wonderful gleefully imparted knowledge couple fine suggestion nothing report excellently executed dish dish enjoyed neutral surroundings served proper staff although one girl loosened enough chat bit job fascinating fun please son turned reason visit loved every moment felt special never eaten food good marvelled watch room wisened old git wanted something bit oomph yearned prefect imperfection lee scratch perry cow moo stan bowles shirt hanging ghost past three defender quirk bit derring come back donning two jacket corset
Restaurant Gordon Ramsay,3,2023-09-11,5,best experience ever everything absolutely perfect first three star michelin restaurant def set standard high others went everything menu absolutely delicious service world ambiance really first ppl started drinking got louder better wait go back one day food everything good
Restaurant Gordon Ramsay,3,2023-09-06,2,excited beef wellington restaurant big kitchen nightmare fan bland ask waitress salt bad lacked much flavor waitress gave salt never asked thought meat needed maybe used suspected every restaurant near full sat people place pm
Restaurant Gordon Ramsay,3,2023-07-13,3,caveat forbes star restaurant year noma geranium aoc jont providence headed core helene later week would say r gordon ramsay hard pas visiting abroad limited time nice meal michelin star service close proper single staff member engaging remarkable day age stuff quite cut anymore som confused ordered considering entire table gotten tasting menu water glass empty min several occasion table never crumbed staines addressed decor clean modern restroom kept food price reasonable carte blanche tasting flatware beautiful plateing composition inspiring taste menu need whole reset cheese puff amuse like mouthful day old mac cheese going make bread course game need upped dinner roll shared butter quite lobster course chewy john dory tad cooked mention preference thing like bean staff never heard back kitchen saw chef squab course delicious temp plate fired much warmer entire pace dinner way slow point waited min course total time tasting hr course meal would also say left hungry prefer present much food price point able make decision eat le excess level cater different guest appetite overall good local drop dinner beyond star michelin stripped accolade course good bad expect love expect hate
Restaurant Gordon Ramsay,3,2023-06-29,2,table lunch time week ordered tasting menu glass wine bill lunch people sorry seems exorbitantly extreme lunch everything ok incredible worth type money understand personal choice choosing restaurant menu item sorry sticker shock noted
Restaurant Gordon Ramsay,3,2023-06-19,1,unit horrendous staff rude management terrible would stay far far away location allow overly infectious individual eat premise extorted wary also active health department investigation unit would choose another location care customer little
Restaurant Gordon Ramsay,3,2023-06-01,5,great service elevated pub fare beef wellington tender flavorful mom really enjoyed special night
Restaurant Gordon Ramsay,3,2023-05-19,5,give restaurant star could rounding certain aspect least service extraordinary opted menu prestige little surprise appetizer amuse bouches outstanding prize go revolutionary savory custard tart absolute freshest spring produce perfect amount caviar dish took breath away bread butter course also truly sublime interestingly one course disappointed meat course cumbrian blue grey husband bigger understand spare seasoning help u focus taste meat find taste either meat noteworthy tasted underseasoned u cheese course however revelation cart selection jaw dropping like washed rind stinky cheese disappointed epoisses perfect best tasted muenster discovery night young woman introduced cheese helped u make selection absolutely superb frankly staff easily say polished service ever experienced restaurant staff way making everyone feel welcome luxuriously cared ease overly fussy pretentious despite doting care one would expect restaurant caliber trust despite small portion size leave hungry lot portion taste lifetime experience
Restaurant Gordon Ramsay,3,2023-03-17,5,recommend place enough experience exceeded expectation heard much restaurant gordon ramsey year worried hype even better could imagine top delicious course amazing staff stunning decor complete experience even bench put purse course carte blanche new dish designed chef never know coming next complimentary canap amuse boucle palate cleanser additional dessert pictured felt like amazing course libation wine pairing inexpensive addition great thought taken drink selection know complimented course would highly recommend elevated night celebration wait go back
Restaurant Gordon Ramsay,3,2023-03-17,5,came saturday noon advisable book beforehand got carte blanche menu cause want surprised every plate indeed lovely surprise still awe soft bread roll literally bread roll heaven make request lamb one course please change another meat eat lamb happily oblige piece steak done liking ended pre dessert dessert small candy afterwards forever remember taste chocolate deep dark almond aftertaste since three michelin star establishment course professional term service level greeted door someone take coat away server knowledgeable provide nice banter restaurant ambiance intimate limited table table size usually small
"Sketch, The Lecture Room & Library",3,2024-07-12,2,start saying atmosphere really cool bathroom really creative place might worth going food alright staff polite kind except man served table must pretty bad day get day rushed start afternoon tea sandwich arrived table even got st course forgot st pot tea arrived wrong pot timing food tea wrong food would show tea took forever price afternoon tea expect server top
"Sketch, The Lecture Room & Library",3,2024-07-08,5,wonderful service food delicious big celebration girl scout host returned sweet macaron dessert candy table great experience
"Sketch, The Lecture Room & Library",3,2024-07-08,5,food superb ambiance modern bridgerton equipped color class champagne service beyond amazing catered young child treated like princess back thank sketch memorable experience
"Sketch, The Lecture Room & Library",3,2024-07-05,4,biggest advice go toooo hard earlier course especially tower pastry sandwich totally forgot still scone cake come sandwich dessert tea eat think overall worth value favorite mini lobster roll little cake delicious decoration big part experience heard change seasonally went june room pink classy vibe live quartet open secret forget check restroom craziest design e seen restroom
"Sketch, The Lecture Room & Library",3,2024-07-03,2,booked anniversary dinner quite looking forward arrival quickly welcomed shown way reservation area several host hostess wished u happy anniversary nice unfortunately positive ended staff good job greeting cup plate lingered far long ask check crumb left table course may seem like much feel bare minimum deserving michelin star food went course origin menu two three dish miss appetizer white asparagus unremarkable forgettable cod main spinach sauce cooked well term doneness quite bland sauce taste like much dessert quite nice floating island meringue beautiful scoop ice cream underneath addition basil pool favorite dish dinner given nice cake anniversary celebration well much appreciated however seeing two table seated u get check prior u disappointment bathroom experience check given experience expectation dinner recommend would come back
"Sketch, The Lecture Room & Library",3,2024-06-27,4,amazing dinner lecture room library easy see michelin awarded three star decor bright unusual still fancy meal incredibly good favorite course tasting menu haddock langoustine veal wine pairing good next time probably get standard instead splurge service impeccable disappointment waiting almost minute get taxi end meal difficult believe huge demand pm wednesday unlike fine dining restaurant hide example typically order taxi let know arrives spend time waiting street ditto ledbury sketch organize taxi guest instead guest ask doorman waive taxi available one happens seem many drop offs section conduit street evening long wait otherwise fantastic experience
"Sketch, The Lecture Room & Library",3,2024-06-21,5,review lecture room library dinner hand best dining experience life absolutely blown away amazed every second evening service friendly fun knowledgeable attentive ever experienced ambiance left u speechless evening highlight two week trip europe amazing experience hostess tour dinner room really left u feeling like magical epic time know mentioned food yet exceptional alone warranted star review knew going michelin star restaurant would give u perfect cuisine service impeccable ambiance stunned u left u feeling like truly highlight holiday abroad thank sketch memory wife always cherish
"Sketch, The Lecture Room & Library",3,2024-06-03,5,find london go check sketch made huge mistake truly one coolest place ever gorgeous forest themed back bar worldly bathroom fully immersive dining experience unlike great service incredible food masterful cocktail
"Sketch, The Lecture Room & Library",3,2024-06-01,5,husband honeymoon chose restaurant special date night glad upon arrival treated upmost hospitality restaurant beautiful unlike anything ever experienced tasting menu shared bottle white wine recommended sommelier constantly checked explained dish menu wide variety food many never tried staff also sent u link email food try rest honeymoon also gave u tour meal got see famous bathroom hope able make back one day amazing dining experience ever
"Sketch, The Lecture Room & Library",3,2024-05-27,3,high hope sketch end fairly mixed experience venue great reservation difficult secure book early though totally sure overwhelmingly crowded think maybe room closed time went room sure least glance various theme landed spot parlor fine picture online bit favor grabbed spot one couch overall normal cocktail bar seat everyone told u check bathroom interesting little art installation explanation wall walking drink fine price likely reflective overall experience interested getting one service first great super friendly attentive however halfway experience inundated birthday party people point became essentially non existent tried sort getting check bit hassle vibe parlor beside seating favorite dj choice bit aggressive amount people room simply conversation also sign posted respectful taking picture area mindful patron found bit putting found background dj filming assume sort live social medium moment overall hype focused venue space probably get picture online
"Sketch, The Lecture Room & Library",3,2024-05-27,5,moment step sketch london enveloped mesmerizing atmosphere vibrant decor dynamic energy captivate sens immediately stylish warm welcoming hostess explained multiple bar restaurant one boast three michelin star sure reserve advance culinary experience explored three downstairs bar unique charm two dj playing lively music perfect saturday evening despite busy incredibly accommodating walk in friend indulged delightful small bite exquisite drink middle bar everything absolutely wonderful service impeccable thought night ending met simon convinced stay little longer experience sketch offer graciously escorted east bar futuristic feel like stepping spaceship transported world mesmerizing art fantastic music luc luke charming bartender crafted phenomenal drink engaged delightful meaningful conversation guest couple next stop raving cocktail service every staff member encountered night exuded pride role went beyond ensure memorable experience outstanding evening every aspect surpassing expectation gratitude go team sketch warm hospitality making night truly unforgettable eagerly looking forward next visit
"Sketch, The Lecture Room & Library",3,2024-05-26,5,great decor drink amazing even surprise birthday dessert espresso martini amazing
"Sketch, The Lecture Room & Library",3,2024-05-18,3,fancy sketch restaurant even beautiful person bathroom popular spot definitely miss look even better art museum come seeing many instagram post year first afternoon tea ever heard eat get box end bring stuff home got really excited however second order take forever come sometimes even remember wanted certain item even constantly reminding still bring worth probably also get bamboozled end automatically add bill ask server remove
"Sketch, The Lecture Room & Library",3,2024-05-02,5,treat fancy afternoon tea sandwich amazing sparkling rose perfection decor fun staff kind
"Sketch, The Lecture Room & Library",3,2024-05-02,5,seen post place year excited finally able experience made reservation high tea cool interesting decor tea service course ended taking lot food home interesting caviar lolipops definitely great time visit famous bathroom disappoint hard explain futuristic modern
"Sketch, The Lecture Room & Library",3,2024-04-21,5,imagine stepping technicolor dream heart mayfair exactly sketch feel like visited january experience still glowing bright memory forget beige tablecloth predictable decor sketch kaleidoscope vibrant space one outrageous last one room feel like stepped wes anderson dream sunshine yellow plush velvet another gallery come life fantastical art practically leap wall help cool ar app beauty go beyond aesthetic service sketch like perfectly choreographed ballet staff attentive without intrusive knowledge menu wine list impressive play part overall theatrical experience speaking menu well another adventure entirely chef fr ric creation playful artistic flavor combination surprise delight meal journey tastebud warned sketch faint wallet splurge sure looking truly unique unforgettable dining experience place january festive spirit must added another layer magic whole sunshine filled atmosphere looking escape ordinary treat night culinary visual delight sketch must visit prepared world turned upside best way possible
"Sketch, The Lecture Room & Library",3,2024-04-05,1,definitely place true afternoon tea experience food sub par unthinkable thing happened ran tea requested restaurant serving tea time tea choice run tea even ambiance pretty cheesy except restroom guess walk request use bathroom save per person
"Sketch, The Lecture Room & Library",3,2024-04-05,5,honestly vibe place amazing tea also beautiful really love staff completely attentive whole time kindly catered need coming back consistently favorite place london
"Sketch, The Lecture Room & Library",3,2024-03-20,5,ambiance amazing definitely experience tea delicious treat abundant
"Sketch, The Lecture Room & Library",3,2024-03-17,5,best afternoon tea great service amazing place real cool vibe beautiful interior must try
"Sketch, The Lecture Room & Library",3,2024-03-10,5,enter dim hallway going deep inside building feel like alice passing looking glass following rabbit hole two separate dining room different motif one sea little mermaid vibe brightly painted whimsical wonderland would think place popped lewis carroll head atmosphere surreal feel like joining mad hatter march hare dormouse high tea three piece string ensemble corner playing popular tune violin viola cello lady good instrumental rendition coldplay viva la vida justin bieber sorry high tea friend tea selection excellent since could order much many different tea wanted started black tea first pot earl grey darjeeling tea pot individual serf cup moved onto phoenix honey orchid mild favorite course honey came little carafe last pot organic dragon well green tea tea sandwich cake tiered tray main event sandwich coronation chicken cucumber salmon ricotta croque monsieur cut finger length rectangle chicken ham cheese croque monsieur excellent surprised really liked cucumber well request many sandwich like bring forget sweet side tier multiple cake thing got little strange consumed much tea first seek rest room adjacent room thought transported woody allen movie sleeper stair stark white high ceiling room bunch tall white egg pod reminded robin williams mork spaceship ork ask attendant maid uniform find available egg someone please pinch bottom room round lounge area motif musician took break set service impeccable exceptional attention detail expected high end restaurant overall amazing experience would recommend anybody visiting london forget point pinkie finger raise teacup lip
"Sketch, The Lecture Room & Library",3,2024-02-16,5,loved sketch first ambiance beautiful much cool art bathroom also futuristic haha really fun see service incredibly friend high tea also got great cocktail necessarily lovee food high tea ya know tea sandwich biscuit ok think go experience tea tea fantastic got unlimited tea hour experience glad decided certainly fun experience never experienced high tea
"Sketch, The Lecture Room & Library",3,2024-02-04,5,cocktail incredible also love vibe music decor unique
